DATE,BRKA
1990-01,-0.14063400576368876
1990-02,-0.030851777330650733
1990-03,-0.06920415224913495
1990-04,-0.0037174721189592247
1990-05,0.06716417910447796
1990-06,0.006993006993007115
1990-07,-0.027777777777777818
1990-08,-0.08571428571428548
1990-09,-0.08203124999999971
1990-10,0.012765957446808422
1990-11,0.06638655462184868
1990-12,0.052009456264775315
1991-01,0.10861423220973829
1991-02,0.0912162162162163
1991-03,-0.00619195046439639
1991-04,0.012461059190030778
1991-05,0.07692307692307665
1991-06,-0.04000000000000006
1991-07,0.014880952380952444
1991-08,0.029325513196481207
1991-09,0.011396011396011279
1991-10,-0.034366197183098655
1991-11,-0.025670945157526343
1991-12,0.08383233532934124
1992-01,-0.022099447513811897
1992-02,-0.01412429378531082
1992-03,0.025787965616045985
1992-04,0.019553072625698192
1992-05,-0.0027397260273972716
1992-06,0.013736263736263719
1992-07,0.03252032520325207
1992-08,-0.041994750656167944
1992-09,0.03013698630137002
1992-10,0.00797872340425513
1992-11,0.1319261213720316
1992-12,0.09557109557109592
1993-01,0.02978723404255279
1993-02,0.03099173553719027
1993-03,0.022044088176352523
1993-04,-0.007843137254902172
1993-05,0.1857707509881423
1993-06,0.026666666666666623
1993-07,0.038961038961038856
1993-08,0.09531250000000009
1993-09,-0.04850213980028533
1993-10,0.03448275862068952
1993-11,-7.502679033599691e-17
1993-12,-0.05362318840579697
1994-01,-0.007656967840735735
1994-02,-0.04629629629629629
1994-03,0.030744336569579298
1994-04,0.010989010989010612
1994-05,-2.4806545706468337e-16
1994-06,3.452099717193847e-16
1994-07,0.21739130434782608
1994-08,-0.02551020408163265
1994-09,-0.007853403141361185
1994-10,0.06860158311345589
1994-11,0.013580246913580458
1994-12,-0.006090133982947572
1995-01,0.20588235294117624
1995-02,-0.09451219512195144
1995-03,0.01683501683501672
1995-04,-0.04635761589403958
1995-05,0.05092592592592584
1995-06,0.03303964757709232
1995-07,0.05543710021321957
1995-08,0.03030303030302994
1995-09,0.15294117647058775
1995-10,0.003401360544217453
1995-11,0.06101694915254264
1995-12,0.02555910543131001
1996-01,-0.006230529595015568
1996-02,0.11285266457680251
1996-03,-0.04647887323943652
1996-04,-0.01033973412112243
1996-05,-0.08955223880597021
1996-06,0.006557377049180369
1996-07,0.006514657980456041
1996-08,0.012944983818770309
1996-09,0.02715654952076661
1996-10,0.0077760497667186445
1996-11,0.024691358024691197
1996-12,0.027108433734939798
1997-01,0.020527859237536646
1997-02,0.0201149425287353
1997-03,0.019718309859154626
1997-04,0.049723756906076784
1997-05,0.13157894736842102
1997-06,0.09767441860465148
1997-07,2.7755575615628914e-17
1997-08,-0.12076271186440679
1997-09,0.07951807228915678
1997-10,-0.024553571428571532
1997-11,0.03661327231121313
1997-12,0.015452538631346713
1998-01,0.09347826086956555
1998-02,0.10934393638170935
1998-03,0.20430107526881747
1998-04,0.020833333333332874
1998-05,0.03061224489795931
1998-06,0.1075671852899576
1998-07,-0.10471872805057132
1998-08,-0.13700877255545266
1998-09,-0.01487603305785133
1998-10,0.08221476510067087
1998-11,0.05271317829457383
1998-12,0.030927835051546546
1999-01,-0.07142857142857112
1999-02,0.09384615384615391
1999-03,0.004219409282700839
1999-04,0.07002801120448188
1999-05,-0.05759162303664908
1999-06,-0.04305555555555553
1999-07,-0.015892597968069674
1999-08,-0.05316717056264249
1999-09,-0.1433021806853581
1999-10,0.16181818181818142
1999-11,-0.10328638497652576
1999-12,-0.02094240837696319
2000-01,-0.08734402852049929
2000-02,-0.14062500000000025
2000-03,0.3000000000000003
2000-04,0.03671328671328691
2000-05,-0.011804384485665847
2000-06,-0.08191126279863482
2000-07,0.024163568773234386
2000-08,0.047186932849364364
2000-09,0.1161178509532066
2000-10,-0.010869565217391597
2000-11,0.03453689167974913
2000-12,0.07738998482549314
2001-01,-0.036619718309859384
2001-02,0.027777777777778057
2001-03,-0.06899004267425306
2001-04,0.03896103896103882
2001-05,0.0102941176470587
2001-06,0.010189228529839708
2001-07,-0.0028818443804036423
2001-08,0.0028901734104050942
2001-09,0.00864553314121036
2001-10,0.01714285714285714
2001-11,-0.016853932584269333
2001-12,0.08
2002-01,-0.022486772486772725
2002-02,-0.01217861975642777
2002-03,-0.026027397260274095
2002-04,0.0330520393811534
2002-05,0.015656909462218968
2002-06,-0.1045576407506703
2002-07,0.02245508982035906
2002-08,0.06881405563689612
2002-09,0.012328767123287596
2002-10,0.003924221921516082
2002-11,-0.025475131419328643
2002-12,0.006224066390041389
2003-01,-0.07079037800687311
2003-02,-0.08727810650887595
2003-03,0.03403565640194514
2003-04,0.09427899686520373
2003-05,0.016973429778700932
2003-06,0.02112676056338025
2003-07,-0.006758620689655258
2003-08,0.052284404943757516
2003-09,-0.01022764764104257
2003-10,0.037466666666666676
2003-11,0.0763398020819945
2003-12,0.005970149253731577
2004-01,0.0621958456973293
2004-02,0.05598390881662743
2004-03,-0.012698412698412983
2004-04,0.0009646302250804775
2004-05,-0.047007174215654514
2004-06,-0.0005617977528089035
2004-07,-0.0191118605958408
2004-08,-0.0028653295128943253
2004-09,-0.004022988505746986
2004-10,-0.02769763416041541
2004-11,-0.0065281899109788846
2004-12,0.05017921146953417
2005-01,0.022753128555176545
2005-02,0.003337041156840719
2005-03,-0.035476718403547935
2005-04,-0.030459770114942657
2005-05,-0.002963841138114912
2005-06,-0.007134363852556561
2005-07,9.497611030973019e-17
2005-08,-0.004191616766466849
2005-09,-0.013830426939266359
2005-10,0.04756097560975619
2005-11,0.04062863795110566
2005-12,-0.008613938919341996
